easy_qvalue	complex_qvalue	hard_qvalue
0.352992	0.146672	0.229647
0.676573	0.076285	0.151582
0.99133	0.0504171	-0.0729425
0.812644	0.0389043	-0.843381
0.534287	-0.107115	-1.54698
0.481492	-0.155094	-3.37366
0.415967	-0.233074	-4.24716
0.464662	-0.286101	-6.00244
1.36215	-0.363846	-6.32192
1.01273	-0.0405802	-7.11095
1.81369	0.592579	-8.18765
1.97841	1.69174	-7.77898
1.99205	12.2297	-7.833
2.28131	7.70637	-7.96013
3.22698	3.48244	-6.47372
4.66798	3.08348	-7.1923
2.62245	3.64101	-7.18869
8.14553	4.04454	-8.49615
6.56668	6.92053	-7.0703
9.88559	6.36011	-8.25625
15.7124	9.02376	-7.56405
10.1675	8.48909	-7.18044
13.1138	11.5161	-8.40398
19.4355	20.921	-10.7146
16.8071	26.2011	-10.7419
29.5059	21.5471	-10.7543
19.5687	25.7829	-10.5575
20.0836	31.9722	-9.27018
19.4505	23.6599	-11.1349
24.476	35.8769	-11.5222
17.62	35.1964	-13.1003
29.0059	49.9489	-10.6215
18.6	40.1528	-7.51386
20.3786	52.5549	-12.2787
19.9611	40.0438	-11.6319
19.2302	46.0129	-9.05603
35.0003	49.1453	-10.0658
18.5684	51.6604	-11.6713
32.97	54.6835	-9.56119
33.6027	50.0107	-9.43584
33.5636	49.7526	-11.0835
23.7822	54.2525	-11.4976
32.387	55.5251	-11.6542
20.5758	56.2922	-10.6641
31.0524	59.6928	-9.07266
40.1482	54.7059	-13.4572
35.6809	55.8243	-11.9201
28.4221	68.845	-10.5993
26.4687	52.1667	-14.9421
27.8812	58.5872	-12.4062
36.9708	59.7274	-12.1817
25.2033	58.9742	-10.4837
39.5773	49.7499	-7.40249
25.5277	67.4113	-7.54387
34.4604	72.1791	-9.63952
30.3461	69.8818	-11.5692
39.8842	60.1737	-12.5087
42.1927	66.8133	-11.3207
40.7846	68.7191	-2.34274
46.0124	81.6408	-3.58938
45.5604	61.7395	-10.9444
51.3203	66.3712	-8.02444
53.1372	69.6492	-10.5151
61.2562	61.3131	-7.87557
55.2745	61.9015	-5.47968
63.9472	69.2982	-5.28308
60.454	60.8296	-4.96527
69.9721	60.8105	-4.29051
66.0039	60.8997	-7.72716
72.4459	53.1007	-3.90489
66.9752	61.3032	-2.8611
71.2856	63.2365	-3.72938
68.2352	56.2865	-1.89964
72.5871	65.3608	-0.808707
90.2864	62.0461	-1.3009
83.5985	59.0808	-1.08012
67.9207	54.5939	-2.56267
74.5168	51.3959	-2.26284
77.6212	59.5153	-0.480017
82.8261	64.4559	-1.67668
74.7434	64.89	2.3295
79.724	67.5877	2.06643
84.6941	74.5475	-0.00992647
86.6487	64.3582	1.23703
