score kills time
106.92 4 63
-32.3 1 89
-75.04 0 81
19.18 2 55
-85.25 0 74
-84.89 0 86
83.0 3 99
143.54 4 117
-72.27 0 90
-79.77 0 90
-27.66 1 77
-85.19 0 76
-3.81 1 122
55.65 2 104
-77.24 0 91
33.75 2 124
-54.35 0 104
-67.45 0 84
-84.92 0 85
3.27 1 108
-66.55 0 114
-84.38 0 103
103.72 3 123
-11.7 1 109
184.17 4 138
-84.77 0 90
-84.65 0 94
-61.82 0 105
47.88 2 95
138.69 4 122
-64.32 0 105
38.24 2 107
5.65 1 104
10.62 1 103
-62.27 0 90
-79.02 0 115
-81.91 0 102
-64.5 0 99
-85.13 0 78
-84.26 0 107
-66.94 0 101
-84.41 0 102
-79.62 0 95
-66.91 0 102
-84.56 0 97
28.42 1 113
-84.35 0 104
-11.88 1 103
-57.69 0 76
-19.5 1 99
-77.24 0 91
-72.15 0 94
-7.3 1 89
171.91 4 146
-72.12 0 95
-84.14 0 111
-84.38 0 103
32.88 2 95
88.96 3 131
30.8 2 109
89.48 3 65
-64.38 0 103
118.51 3 116
-34.8 1 89
-7.18 1 93
96.55 3 134
-6.16 1 127
-84.38 0 103
46.82 2 143
23.87 2 128
141.37 4 128
199.2 5 139
23.09 2 102
-84.2 0 109
-84.41 0 102
-67.27 0 90
-85.25 0 74
-84.56 0 97
108.75 3 124
-16.61 1 112
-56.19 0 126
28.12 1 103
-84.53 0 98
-23.78 1 123
-46.13 0 128
-3.78 1 123
220.88 5 195
74.17 2 138
-54.2 0 109
-85.04 0 81
82.82 3 93
-66.85 0 104
48.75 2 124
-84.38 0 103
-84.83 0 88
13.99 1 132
-44.53 1 98
16.01 1 116
-74.53 0 98
-72.45 0 84
-78.84 0 121
-19.77 1 90
150.8 4 109
47.97 2 98
-84.2 0 109
-77.87 0 70
53.09 2 102
-14.56 1 97
-84.2 0 109
-64.77 0 90
-14.17 1 110
225.43 4 180
-3.57 1 130
-56.91 0 102
-84.8 0 89
18.54 1 117
-61.52 0 115
59.02 2 133
-69.74 0 91
-34.5 1 99
-78.99 0 116
-74.2 0 109
-79.74 0 91
-84.32 0 105
-81.88 0 103
-33.69 1 126
-14.14 1 111
43.93 2 130
192.45 4 164
-84.35 0 104
-84.98 0 83
-46.43 0 118
-20.16 1 77
